sitename,electrificationpolename,kilometer,kilolon,kilolat,
西焼津～藤枝,副３,197355,138.28212,34.858738,197355
西焼津～藤枝,本３,197355,138.28212,34.858738,197355
西焼津～藤枝,副４,197404,138.28161,34.858577,197405
西焼津～藤枝,本４,197404,138.28161,34.858577,197405
西焼津～藤枝,副５,197456,138.2811,34.858416,197455
西焼津～藤枝,本５,197456,138.2811,34.858416,197455
西焼津～藤枝,副６,197506,138.280588,34.858255,197505
西焼津～藤枝,本６,197506,138.280588,34.858255,197505
西焼津～藤枝,副７,197555,138.280073,34.858094,197555
西焼津～藤枝,本７,197555,138.280073,34.858094,197555
西焼津～藤枝,副８,197605,138.279568,34.857933,197605
西焼津～藤枝,本８,197605,138.279568,34.857933,197605
西焼津～藤枝,副９,197656,138.279053,34.857772,197655
西焼津～藤枝,本９,197656,138.279053,34.857772,197655
西焼津～藤枝,副１０,197707,138.27854,34.857611,197705
西焼津～藤枝,本１０,197707,138.27854,34.857611,197705
西焼津～藤枝,副１１,197757,138.27803,34.85745,197755
西焼津～藤枝,本１１,197757,138.27803,34.85745,197755
西焼津～藤枝,副１２,197806,138.27752,34.857289,197805
西焼津～藤枝,本１２,197806,138.27752,34.857289,197805
西焼津～藤枝,副１３,197856,138.27701,34.857127,197855
西焼津～藤枝,本１３,197856,138.27701,34.857127,197855
西焼津～藤枝,副１４,197906,138.276498,34.856967,197905
西焼津～藤枝,本１４,197906,138.276498,34.856967,197905
西焼津～藤枝,副１５,197955,138.275983,34.856806,197955
西焼津～藤枝,本１５,197955,138.275983,34.856806,197955
西焼津～藤枝,副１６,198006,138.27547,34.856646,198005
西焼津～藤枝,本１６,198006,138.27547,34.856646,198005
西焼津～藤枝,副１７,198057,138.274963,34.856485,198055
西焼津～藤枝,本１７,198057,138.274963,34.856485,198055
西焼津～藤枝,副１８,198108,138.2744,34.856308,198110
西焼津～藤枝,本１８,198108,138.2744,34.856308,198110
西焼津～藤枝,副１９,198157,138.273943,34.856158,198155
西焼津～藤枝,本１９,198157,138.273943,34.856158,198155
西焼津～藤枝,副２０,198208,138.27338,34.855988,198210
西焼津～藤枝,本２０,198208,138.27338,34.855988,198210
西焼津～藤枝,副２１,198258,138.27287,34.855827,198260
西焼津～藤枝,本２１,198258,138.27287,34.855827,198260
西焼津～藤枝,副２２,198308,138.272355,34.855667,198310
西焼津～藤枝,本２２,198308,138.272355,34.855667,198310
西焼津～藤枝,副２３,198358,138.27185,34.855505,198360
西焼津～藤枝,本２３,198358,138.27185,34.855505,198360
西焼津～藤枝,副２４,198408,138.271335,34.855341,198410
西焼津～藤枝,本２４,198408,138.271335,34.855341,198410
西焼津～藤枝,副２５,198446,138.270978,34.855231,198445
西焼津～藤枝,本２５,198446,138.270978,34.855231,198445
西焼津～藤枝,副２５－１,198484,138.27057,34.855102,198485
西焼津～藤枝,本２５－１,198484,138.27057,34.855102,198485
西焼津～藤枝,副２６,198531,138.27011,34.854955,198530
西焼津～藤枝,本２６,198531,138.27011,34.854955,198530
西焼津～藤枝,副２７,198568,138.2697,34.85483,198570
西焼津～藤枝,本２７,198568,138.2697,34.85483,198570
西焼津～藤枝,副２８,198608,138.26929,34.854701,198610
西焼津～藤枝,本２８,198608,138.26929,34.854701,198610
西焼津～藤枝,副２９,198657,138.268833,34.854555,198655
西焼津～藤枝,本２９,198657,138.268833,34.854555,198655
西焼津～藤枝,副３０,198707,138.26832,34.854396,198705
西焼津～藤枝,本３０,198707,138.26832,34.854396,198705
