kilometer,latitude,longitude
107790,35.100785,139.04468
107795,35.100791,139.044625
107800,35.100797,139.04457
107805,35.100803,139.044518
107810,35.100809,139.044465
107815,35.100815,139.044413
107820,35.100821,139.04436
107825,35.100827,139.044305
107830,35.100833,139.04425
107835,35.100839,139.044195
107840,35.100845,139.04414
107845,35.100851,139.044085
107850,35.100858,139.04403
107855,35.100864,139.043975
107860,35.10087,139.04392
107865,35.100876,139.043865
107870,35.100882,139.04381
107875,35.100888,139.043755
107880,35.100894,139.0437
107885,35.1009,139.043645
107890,35.100907,139.04359
107895,35.100913,139.043535
107900,35.100919,139.04348
107905,35.100925,139.043428
107910,35.100931,139.043375
107915,35.100937,139.043323
107920,35.100943,139.04327
107925,35.100949,139.043215
107930,35.100955,139.04316
107935,35.100961,139.043105
107940,35.100967,139.04305
107945,35.100973,139.042995
107950,35.10098,139.04294
107955,35.100986,139.042885
107960,35.100992,139.04283
107965,35.100998,139.042775
107970,35.101004,139.04272
107975,35.10101,139.042665
107980,35.101016,139.04261
107985,35.101022,139.042558
107990,35.101028,139.042505
107995,35.101034,139.042453
108000,35.10104,139.0424
108005,27.601046,139.042345
108010,20.101052,139.04229
108015,12.601059,139.042235
108020,5.101065,139.04218
108025,12.601071,139.042125
108030,20.101076,139.04207
108035,27.601082,139.042015
108040,35.101088,139.04196
108045,35.101094,139.041905
108050,35.1011,139.04185
108055,35.101106,139.041795
108060,35.101112,139.04174
108065,35.101118,139.041685
108070,35.101124,139.04163
108075,35.10113,139.041575
108080,35.101136,139.04152
108085,35.101142,139.041468
108090,35.101148,139.041415
108095,35.101154,139.041363
108100,35.10116,139.04131
108105,35.101166,139.041255
108110,35.101173,139.0412
108115,35.101179,139.041145
108120,35.101185,139.04109
108125,35.101191,139.041035
108130,35.101197,139.04098
108135,35.101203,139.040925
108140,35.101209,139.04087
108145,35.101215,139.040815
108150,35.101221,139.04076
108155,35.101227,139.040705
108160,35.101233,139.04065
108165,35.101239,139.040598
108170,35.101245,139.040545
108175,35.101251,139.040493
108180,35.101257,139.04044
108185,35.101263,139.040385
108190,35.10127,139.04033
108195,35.101276,139.040275
108200,35.101282,139.04022
108205,35.101288,139.040165
108210,35.101294,139.04011
108215,35.1013,139.040055
108220,35.101306,139.04
108225,35.101312,139.039945
108230,35.101318,139.03989
108235,35.101324,139.039835
108240,35.10133,139.03978
108245,35.101336,139.039725
108250,35.101343,139.03967
108255,35.101349,139.039615
108260,35.101355,139.03956
108265,35.101361,139.039508
108270,35.101367,139.039455
108275,35.101373,139.039403
108280,35.101379,139.03935
108285,35.101385,139.039295
108290,35.101392,139.03924
108295,35.101398,139.039185
108300,35.101404,139.03913
108305,35.10141,139.039075
108310,35.101416,139.03902
108315,35.101422,139.038965
108320,35.101428,139.03891
108325,35.101434,139.038855
108330,35.10144,139.0388
108335,35.101446,139.038745
108340,35.101452,139.03869
108345,35.101458,139.038638
108350,35.101464,139.038585
108355,35.10147,139.038533
108360,35.101476,139.03848
108365,35.101482,139.038425
108370,35.101488,139.03837
108375,35.101494,139.038315
108380,35.1015,139.03826
108385,35.101506,139.038205
108390,35.101512,139.03815
108395,35.101518,139.038095
108400,35.101524,139.03804
108405,35.10153,139.037985
108410,35.101536,139.03793
108415,35.101542,139.037875
108420,35.101548,139.03782
108425,35.101554,139.037765
108430,35.101561,139.03771
108435,35.101567,139.037655
108440,35.101573,139.0376
108445,35.101579,139.037548
108450,35.101585,139.037495
108455,35.101591,139.037443
108460,35.101597,139.03739
108465,35.101603,139.037335
